rank,property_id,address,latitude,longitude,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,image,listing_type,broker_name,input,property_url,listing_url
676,26408602,"3502 Herron Ct, San Antonio, TX 78217",29.533357000000002,-98.432056,240000.0,3.0,3.0,1528.0 sqft,245400.0,1674.0,0.0,https://photos.zillowstatic.com/fp/a3560a2a8540b334629bd833389b7e1c-p_e.jpg,House for sale,Reliance Residential Realty-NB,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3502-Herron-Ct-San-Antonio-TX-78217/26408602_zpid/,https://www.zillow.com/homes/TX_rb/17_p/
183,90326562,"1205 Marlee Cir, Copperas Cove, TX 76522",31.095645,-97.919117,180000.0,2.0,4.0,1528.0 sqft,186000.0,1345.0,0.0,https://photos.zillowstatic.com/fp/2731800357fafb6a74ec343da19b458d-p_e.jpg,Active,Keller Williams Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1205-Marlee-Cir-Copperas-Cove-TX-76522/90326562_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
133,305849952,"7506 Krypton Dr, Corpus Christi, TX 78414",27.64498,-97.35352900000001,394900.0,3.0,4.0,2544.0 sqft,393300.0,2499.0,0.0,https://photos.zillowstatic.com/fp/8128d729ead1f7095a9a8e61c1e68087-p_e.jpg,House for sale,ListingSpark,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/7506-Krypton-Dr-Corpus-Christi-TX-78414/305849952_zpid/,https://www.zillow.com/homes/TX_rb/4_p/
715,26541403,"503 Huckleberry Dr, Lake Jackson, TX 77566",29.056884999999998,-95.44086999999999,229500.0,2.0,3.0,1473.0 sqft,204600.0,1709.0,0.0,https://photos.zillowstatic.com/fp/65df62e3b1ac11373a840268728a155f-p_e.jpg,House for sale,Birdsong Real Estate,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/503-Huckleberry-Dr-Lake-Jackson-TX-77566/26541403_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
195,120810299,"11919 Silver Coins, San Antonio, TX 78254",29.527586,-98.728358,285000.0,2.0,3.0,1812.0 sqft,260000.0,1724.0,0.0,https://photos.zillowstatic.com/fp/1ea24abbd1f15e315f28c21775d31e41-p_e.jpg,House for sale,Opendoor Brokerage LLC,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/11919-Silver-Coins-San-Antonio-TX-78254/120810299_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
713,235072820,"625 Jefferson St, Pittsburg, TX 75686",32.993471,-94.950691,129900.0,1.0,3.0,1372.0 sqft,86300.0,984.0,0.0,https://photos.zillowstatic.com/fp/37eeafc62ad04072901f3fbffdd0ef60-p_e.jpg,House for sale,Mayben Realty - Pittsburg,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/625-Jefferson-St-Pittsburg-TX-75686/235072820_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
772,26129434,"1003 Clark Ave, San Antonio, TX 78210",29.403668,-98.449415,135000.0,2.0,3.0,1350.0 sqft,84000.0,1314.0,0.0,https://photos.zillowstatic.com/fp/1eb54c00a2b9b8194fb7b0e27fdf1d6c-p_e.jpg,House for sale,"StepStone Realty, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1003-Clark-Ave-San-Antonio-TX-78210/26129434_zpid/,https://www.zillow.com/homes/TX_rb/20_p/
764,78883048,"613 Juarez St, Wichita Falls, TX 76301",33.911896999999996,-98.477862,39940.0,1.0,2.0,1036.0 sqft,43600.0,967.0,0.0,https://photos.zillowstatic.com/fp/255d09d5d0e70d128de60f2c999aa265-p_e.jpg,House for sale,940 Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/613-Juarez-St-Wichita-Falls-TX-76301/78883048_zpid/,https://www.zillow.com/homes/TX_rb/20_p/
135,80527997,"22310 Bridgestone Palm Ct, Spring, TX 77388",30.076140000000002,-95.486216,419900.0,4.0,5.0,4294.0 sqft,379700.0,3629.0,0.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=30.07614,-95.486216&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=H-7o_U9MZpoZQzE2zbH2Wvj6SyY=",House for sale,Texas United Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/22310-Bridgestone-Palm-Ct-Spring-TX-77388/80527997_zpid/,https://www.zillow.com/homes/TX_rb/4_p/
377,28464583,"12865 Kingsbridge Ln, Houston, TX 77077",29.760334999999998,-95.614623,375000.0,3.0,3.0,2132.0 sqft,340200.0,1936.0,0.0,https://photos.zillowstatic.com/fp/ac2806ecf8211fd284bca6566e581307-p_e.jpg,House for sale,KingFay Inc,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/12865-Kingsbridge-Ln-Houston-TX-77077/28464583_zpid/,https://www.zillow.com/homes/TX_rb/10_p/
124,27450908,"10021 Goliad Dr, El Paso, TX 79924",31.900158,-106.43441399999999,170000.0,2.0,3.0,1410.0 sqft,170000.0,1366.0,0.0,https://photos.zillowstatic.com/fp/d893f90ff9555bc087606abe8809318f-p_e.jpg,House for sale,Mission Valley Realty LLC,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/10021-Goliad-Dr-El-Paso-TX-79924/27450908_zpid/,https://www.zillow.com/homes/TX_rb/4_p/
16,98235864,"4545 Hugo Reyes Dr, El Paso, TX 79938",31.814373,-106.244257,155000.0,2.0,4.0,1224.0 sqft,156900.0,1357.0,0.0,https://photos.zillowstatic.com/fp/35af44b6e378282a10a278f6e62a3d32-p_e.jpg,House for sale,JPAR El Paso,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/4545-Hugo-Reyes-Dr-El-Paso-TX-79938/98235864_zpid/,https://www.zillow.com/homes/TX_rb/
125,28043922,"146 Haversham Dr, Houston, TX 77024",29.757199,-95.543406,1195000.0,3.0,4.0,2808.0 sqft,845300.0,5197.0,0.0,https://photos.zillowstatic.com/fp/163ab77f6ac9c9cb75eb1390187c12c9-p_e.jpg,House for sale,Pinnacle Realty Advisors,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/146-Haversham-Dr-Houston-TX-77024/28043922_zpid/,https://www.zillow.com/homes/TX_rb/4_p/
438,28509851,"13606 Champions Centre Dr, Houston, TX 77069",29.972975,-95.540173,425000.0,4.0,4.0,3341.0 sqft,401700.0,2614.0,0.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.972975,-95.540173&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=hu8PBApOsbw_X3-4znFHeb7IT9k=",House for sale,RE/MAX Integrity,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/13606-Champions-Centre-Dr-Houston-TX-77069/28509851_zpid/,https://www.zillow.com/homes/TX_rb/11_p/
505,28283934,"4150 Alecia Dr, Pasadena, TX 77503",29.689511,-95.148375,215000.0,2.0,3.0,1252.0 sqft,203700.0,1557.0,0.0,https://photos.zillowstatic.com/fp/a894e0d1e721d64c820c1ab6c333cec5-p_e.jpg,House for sale,Keller Williams Metropolitan,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/4150-Alecia-Dr-Pasadena-TX-77503/28283934_zpid/,https://www.zillow.com/homes/TX_rb/13_p/
371,80032613,"3326 Barrel Pass, San Antonio, TX 78245",29.397165,-98.688537,220000.0,2.0,3.0,1562.0 sqft,234300.0,1762.0,0.0,https://photos.zillowstatic.com/fp/4e7b9fcc42a7acacffda961e54a27f95-p_e.jpg,House for sale,RentWerx San Antonio,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3326-Barrel-Pass-San-Antonio-TX-78245/80032613_zpid/,https://www.zillow.com/homes/TX_rb/10_p/
560,161421590,"8902 Snapping Turtle Dr, Humble, TX 77338",30.018101,-95.288209,243000.0,2.0,3.0,1414.0 sqft,219300.0,1680.0,0.0,https://photos.zillowstatic.com/fp/7fdd8ea9289d5e85b7405693db9a36c1-p_e.jpg,House for sale,"Opendoor Brokerage, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/8902-Snapping-Turtle-Dr-Humble-TX-77338/161421590_zpid/,https://www.zillow.com/homes/TX_rb/14_p/
716,113249177,"13534 Stewart Rd, Galveston, TX 77554",29.213922999999998,-94.934259,850000.0,3.0,3.0,1899.0 sqft,811700.0,5693.0,0.0,https://photos.zillowstatic.com/fp/3a53ed8e2896f4be5250bad3d4c48971-p_e.jpg,House for sale,RE/MAX Leading Edge,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/13534-Stewart-Rd-Galveston-TX-77554/113249177_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
108,62588877,"9218 Rosewell Ct, Houston, TX 77095",29.916584000000004,-95.657057,299000.0,3.0,5.0,2584.0 sqft,298900.0,2290.0,0.0,https://photos.zillowstatic.com/fp/26195896f9b26d586f301a7dcb387a6f-p_e.jpg,House for sale,REALM Real Estate Professional,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/9218-Rosewell-Ct-Houston-TX-77095/62588877_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
67,27972735,"2803 Ammons St, Baytown, TX 77521",29.752715999999996,-94.963027,119000.0,2.0,3.0,1203.0 sqft,133300.0,1450.0,0.0,https://photos.zillowstatic.com/fp/97a8e17454b8339652a44b6c88ae070e-p_e.jpg,House for sale,Texas Diamond Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2803-Ammons-St-Baytown-TX-77521/27972735_zpid/,https://www.zillow.com/homes/TX_rb/2_p/
314,27446840,"3315 Taylor Ave, El Paso, TX 79930",31.816785999999997,-106.455048,127000.0,1.0,3.0,1125.0 sqft,109300.0,975.0,0.0,https://photos.zillowstatic.com/fp/a6151bf931195c2cc7a05a4f65bb4ab5-p_e.jpg,House for sale,Success Realty Inc.,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3315-Taylor-Ave-El-Paso-TX-79930/27446840_zpid/,https://www.zillow.com/homes/TX_rb/8_p/
185,116183808,"24914 Cloudy Crk, San Antonio, TX 78255",29.674084000000004,-98.648555,445000.0,2.0,3.0,2348.0 sqft,441700.0,2499.0,0.0,https://photos.zillowstatic.com/fp/37dbb66f8aaa6ac77df17e835010efdc-p_e.jpg,House for sale,Orchard Brokerage,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/24914-Cloudy-Crk-San-Antonio-TX-78255/116183808_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
222,27963710,"5667 Ella Lee Ln, Houston, TX 77056",29.741155,-95.47693199999999,669000.0,2.0,3.0,2203.0 sqft,661300.0,4056.0,0.0,https://photos.zillowstatic.com/fp/20679d712e241fb75561695e7fe543d0-p_e.jpg,House for sale,Champions Real Estate Group,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/5667-Ella-Lee-Ln-Houston-TX-77056/27963710_zpid/,https://www.zillow.com/homes/TX_rb/6_p/
423,50322459,"821 Vine St, Bryan, TX 77802",30.639059999999997,-96.334928,269000.0,3.0,3.0,2331.0 sqft,230000.0,1525.0,0.0,https://photos.zillowstatic.com/fp/1c3286f90b55310cb792e00c776bf7c1-p_e.jpg,House for sale,"Compass Re Texas, Llc",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/821-Vine-St-Bryan-TX-77802/50322459_zpid/,https://www.zillow.com/homes/TX_rb/11_p/
229,84029112,"1117 W 22nd St UNIT H, Houston, TX 77008",29.805871000000003,-95.41943,425000.0,3.0,3.0,1690.0 sqft,424200.0,1765.0,0.0,https://photos.zillowstatic.com/fp/711c780862c26d89a13fe6e6b70ee832-p_e.jpg,House for sale,Elite Texas Properties,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1117-W-22nd-St-UNIT-H-Houston-TX-77008/84029112_zpid/,https://www.zillow.com/homes/TX_rb/6_p/
684,27832230,"3540 Miramar Dr, La Porte, TX 77571",29.618982,-95.003686,524000.0,3.0,3.0,2848.0 sqft,492100.0,2327.0,0.0,https://photos.zillowstatic.com/fp/a724845736a2b808b051279d956ebf3b-p_e.jpg,House for sale,BHGRE Gary Greene,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3540-Miramar-Dr-La-Porte-TX-77571/27832230_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
522,29511076,"8820 Taline Cir, Austin, TX 78748",30.172099,-97.791957,325000.0,2.0,2.0,1090.0 sqft,336100.0,2300.0,0.0,https://photos.zillowstatic.com/fp/13ceaef1a1aac2fc54e300b2cd1dbbba-p_e.jpg,Active,Keller Williams Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/8820-Taline-Cir-Austin-TX-78748/29511076_zpid/,https://www.zillow.com/homes/TX_rb/14_p/
591,26109454,"301 S Monumental St, San Antonio, TX 78203",29.417009999999998,-98.46818499999999,378888.0,3.0,4.0,1900.0 sqft,244000.0,1786.0,0.0,https://photos.zillowstatic.com/fp/af24c33907c2b8424d08a989ad1c30f9-p_e.jpg,House for sale,White Line Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/301-S-Monumental-St-San-Antonio-TX-78203/26109454_zpid/,https://www.zillow.com/homes/TX_rb/15_p/
58,80245974,"5425 Westmont Ln, Lumberton, TX 77657",30.272990000000004,-94.236676,235000.0,2.0,3.0,1641.0 sqft,225300.0,1613.0,0.0,https://photos.zillowstatic.com/fp/d6aebc99da66b83dc51b3feff2e5379b-p_e.jpg,House for sale,JLA REALTY _rrc2*-rrc_ 572287,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/5425-Westmont-Ln-Lumberton-TX-77657/80245974_zpid/,https://www.zillow.com/homes/TX_rb/2_p/
647,332971058,"9055 Fm 389, Fayetteville, TX 78954",30.014222999999998,-96.61514,565000.0,2.0,2.0,1800.0 sqft,776300.0,3337.0,0.0,https://photos.zillowstatic.com/fp/5603c61b7152940aaacce477bea261ef-p_e.jpg,House for sale,Coldwell Banker Properties,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/9055-Fm-389-Fayetteville-TX-78954/332971058_zpid/,https://www.zillow.com/homes/TX_rb/17_p/
286,28157855,"10606 Cypresswood Dr, Houston, TX 77070",29.977175,-95.580501,310000.0,3.0,4.0,3123.0 sqft,297100.0,2509.0,0.0,https://photos.zillowstatic.com/fp/4f8990bb207f51eb7d16090db6a21890-p_e.jpg,House for sale,"Opendoor Brokerage, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/10606-Cypresswood-Dr-Houston-TX-77070/28157855_zpid/,https://www.zillow.com/homes/TX_rb/8_p/
660,27494905,"9309 Roanoke Dr, El Paso, TX 79924",31.875390999999997,-106.4126,119900.0,2.0,3.0,1492.0 sqft,133100.0,1198.0,0.0,https://photos.zillowstatic.com/fp/0c2e2f65a02c36d5ab369189d35e0138-p_e.jpg,House for sale,Home Pros Real Estate Group,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/9309-Roanoke-Dr-El-Paso-TX-79924/27494905_zpid/,https://www.zillow.com/homes/TX_rb/17_p/
594,28542773,"12907 Chalfield Cir, Houston, TX 77044",29.933636,-95.181299,388800.0,3.0,4.0,2423.0 sqft,348100.0,2174.0,0.0,https://photos.zillowstatic.com/fp/b05dbf11c90353ce5de68d1bb5ee10dc-p_e.jpg,House for sale,Connect Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/12907-Chalfield-Cir-Houston-TX-77044/28542773_zpid/,https://www.zillow.com/homes/TX_rb/15_p/
475,193863271,"160 Rock Dove Dr, Lytle, TX 78052",29.201012,-98.747126,334000.0,2.0,3.0,2184.0 sqft,306700.0,1359.0,0.0,https://photos.zillowstatic.com/fp/b7fec08fd5b03ec45e7ff2a28642eec6-p_e.jpg,House for sale,B. R. E. Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/160-Rock-Dove-Dr-Lytle-TX-78052/193863271_zpid/,https://www.zillow.com/homes/TX_rb/12_p/
105,26356623,"1235 Starhaven Pl, San Antonio, TX 78227",29.420810999999997,-98.63539,163000.0,2.0,3.0,1258.0 sqft,149700.0,1391.0,0.0,https://photos.zillowstatic.com/fp/542dd919263cba05f32de293fb94e3ae-p_e.jpg,House for sale,"RE/MAX Preferred, REALTORS",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1235-Starhaven-Pl-San-Antonio-TX-78227/26356623_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
292,26374239,"8542 Five Palms Dr, San Antonio, TX 78242",29.344496000000003,-98.61406099999999,139999.0,1.0,3.0,1428.0 sqft,134300.0,1314.0,0.0,https://photos.zillowstatic.com/fp/645027b1a020195d351afb6160bc78e8-p_e.jpg,House for sale,RE/MAX Signature,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/8542-Five-Palms-Dr-San-Antonio-TX-78242/26374239_zpid/,https://www.zillow.com/homes/TX_rb/8_p/
683,333859333,"6902 Tin Trl, Midland, TX 79705",32.082037,-102.07588,374900.0,3.0,4.0,2478.0 sqft,368200.0,2963.0,0.0,https://photos.zillowstatic.com/fp/72228a39e008fe275860644879c41002-p_e.jpg,House for sale,Fathom Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/6902-Tin-Trl-Midland-TX-79705/333859333_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
353,67011284,"1108 Applerock, Leander, TX 78641",30.546487,-97.855739,539900.0,2.0,4.0,2729.0 sqft,501200.0,2449.0,0.0,https://photos.zillowstatic.com/fp/ce3c04434acafa284227dd249c7da13a-p_e.jpg,Active,"GDAA Property Management, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1108-Applerock-Leander-TX-78641/67011284_zpid/,https://www.zillow.com/homes/TX_rb/9_p/
596,241931666,"4301 Mansfield Dam Rd #2101, Austin, TX 78734",30.394873999999998,-97.911477,850000.0,2.0,3.0,1375.0 sqft,414500.0,2484.0,0.0,https://photos.zillowstatic.com/fp/d661ab4c0e22e5702cd3fd0ddbc93ad6-p_e.jpg,Active,"Congress Realty, Inc.",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/4301-Mansfield-Dam-Rd-2101-Austin-TX-78734/241931666_zpid/,https://www.zillow.com/homes/TX_rb/15_p/
786,27787358,"3311 Bremond St, Houston, TX 77004",29.734865000000003,-95.352329,189990.0,2.0,2.0,710.0 sqft,182000.0,1044.0,0.0,https://photos.zillowstatic.com/fp/d95368a09e4f3b5ed8a0fa3c8732655a-p_e.jpg,Multi-family home for sale,"UHS Properties, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/3311-Bremond-St-Houston-TX-77004/27787358_zpid/,https://www.zillow.com/homes/TX_rb/20_p/
268,2125117366,"5960 Fairmeadow St, Beaumont, TX 77707",30.071952000000003,-94.16381,132000.0,2.0,2.0,1200.0 sqft,134200.0,1327.0,0.0,https://photos.zillowstatic.com/fp/6ef23bb57f52f67d9666b5877367d679-p_e.jpg,Townhouse for sale,"COMPASS RE OF TEXAS, LLC. _rrc2*-rrc_ 9006927",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/5960-Fairmeadow-St-Beaumont-TX-77707/2125117366_zpid/,https://www.zillow.com/homes/TX_rb/7_p/
278,305432379,"5301 Anaheim Ave, Pflugerville, TX 78660",30.423226,-97.568431,420000.0,2.0,3.0,1850.0 sqft,443000.0,2214.0,0.0,https://photos.zillowstatic.com/fp/744d87bf831f9151042299a0ce7ca2f0-p_e.jpg,Active,Keller Williams Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/5301-Anaheim-Ave-Pflugerville-TX-78660/305432379_zpid/,https://www.zillow.com/homes/TX_rb/7_p/
317,80587844,"18507 Bare Meadow Ln, Katy, TX 77449",29.865928999999998,-95.693055,263000.0,2.0,3.0,2202.0 sqft,245400.0,1963.0,0.0,https://photos.zillowstatic.com/fp/131399c9dd9e4caf7740c318f0a289b8-p_e.jpg,House for sale,"Opendoor Brokerage, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/18507-Bare-Meadow-Ln-Katy-TX-77449/80587844_zpid/,https://www.zillow.com/homes/TX_rb/8_p/
11,60135633,"11224 Crest Meadow Ln, Austin, TX 78748",30.157882,-97.845798,492000.0,3.0,3.0,2409.0 sqft,504600.0,2834.0,0.0,https://photos.zillowstatic.com/fp/d72dc3040c0c52b77c00ba0af6c2f180-p_e.jpg,Active,Austin Home and Loan,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/11224-Crest-Meadow-Ln-Austin-TX-78748/60135633_zpid/,https://www.zillow.com/homes/TX_rb/
721,2070351041,"18947 Buckley Oak Dr, New Caney, TX 77357",30.162661,-95.199696,279730.0,3.0,4.0,2032.0 sqft,279700.0,1959.0,0.0,https://photos.zillowstatic.com/fp/51fa0c8778416affce5d6e0d9df537f3-p_e.jpg,New construction,"Turner Mangum,LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/18947-Buckley-Oak-Dr-New-Caney-TX-77357/2070351041_zpid/,https://www.zillow.com/homes/TX_rb/19_p/
15,87397986,"630 Alexander Ave, Kingsville, TX 78363",27.503138,-97.86030600000001,159900.0,1.0,3.0,1322.0 sqft,118000.0,1300.0,0.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=27.503138,-97.860306&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=7SXv2x6C8bLKhv3_N1txYzP7W14=",House for sale,RE/MAX ELITE,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/630-Alexander-Ave-Kingsville-TX-78363/87397986_zpid/,https://www.zillow.com/homes/TX_rb/
119,29511211,"9245 Vigen Cir, Austin, TX 78748",30.168898,-97.794847,359000.0,2.0,3.0,1299.0 sqft,409400.0,2058.0,0.0,https://photos.zillowstatic.com/fp/764e453445164e628280cc4e5b48e415-p_e.jpg,Active,CBSrealty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/9245-Vigen-Cir-Austin-TX-78748/29511211_zpid/,https://www.zillow.com/homes/TX_rb/3_p/
